Model,MAE,RMSE,MAPE,R2
Spark Random Forest,97384867.91967762,487727725.24142987,89.42570833989986,0.65366583081895
Spark GBT Absolute,114984250.30903481,514111468.94036955,134.75994211637675,0.6151823018355945
Spark Decision Tree,122799424.43429534,612928171.149046,135.63180229752666,0.4530348977313775
Spark Isotonic Power Score,165601996.3748904,835541305.6979959,352.57205308924694,-0.016427254612634723
Spark GBT Squared,181503327.73417938,2208714618.3975296,140.60653540855083,-6.102637728221151
Spark Linear Regression,4471544871.286644,104925873111.0581,358.9667279423337,-16027.970747316966
Spark Generalized Linear Regression,4471622620.594364,104927757730.05888,358.9703116519687,-16028.54655904446
